trade_id,direction,open_bar,close_bar,open_time,entry_price,close_price,sl_price,tp1_price,tp2_price,lot_size,pnl,pnl_r,close_reason,tp1_hit,session,quality_score,sweep_event,mae,mfe,equity_after
11,long,15253,15277,2023-09-28 13:00:00,1590.538,1596.0695563202128,1596.14715,1602.4060130000005,1610.5046840000007,0.05,41.14,1.467,stop_loss,True,overlap,0.7364287018421216,BOS_BULL,2.938,15.232,10137.25
12,short,16304,16329,2023-11-11 08:00:00,1386.26,1365.8052344614273,1371.49217,1373.3799999999997,1365.2599999999995,0.07,114.65,1.109,tp2,True,london,0.6,BOS_BEAR,4.24,21.26,10251.9
13,long,16400,16429,2023-11-15 08:00:00,1402.05,1391.4390335984417,1371.16,1453.867552,1481.4367359999999,0.01,-10.68,-0.346,structure_invalidation,False,london,0.76,BOS_BULL,11.13,11.45,10241.22
14,short,16667,16704,2023-11-26 11:00:00,1346.188,1327.8217241918953,1327.13951,1325.304365,1313.14582,0.03,58.09,1.016,stop_loss,True,london,0.7,BOS_BEAR,1.152,24.908,10299.3
15,short,16759,16765,2023-11-30 07:00:00,1322.653,1328.4386783777597,1331.46,1314.848865,1309.31182,0.14,-81.98,-0.665,structure_invalidation,False,london,0.9099999999999999,CHoCH_BEAR,6.997,6.753,10217.32
16,short,17151,17153,2023-12-16 15:00:00,1281.938,1286.6302483392985,1303.63,1250.4119979999998,1232.6726639999997,0.02,-9.52,-0.22,structure_invalidation,False,new_york,0.695540657437159,BOS_BEAR,6.382,1.078,10207.8
17,short,17578,17592,2024-01-03 10:00:00,1236.782,1241.7199505531835,1249.41,1222.9815929999993,1214.172123999999,0.05,-25.04,-0.397,structure_invalidation,False,london,0.91,CHoCH_BEAR,6.398,4.052,10182.76
18,short,17603,17606,2024-01-04 11:00:00,1234.505,1239.2203214443612,1248.43,1219.4532939999997,1209.7943919999996,0.03,-14.36,-0.344,structure_invalidation,False,london,0.81,BOS_BEAR,5.835,1.515,10168.4
19,long,18730,18738,2024-02-20 10:00:00,1370.019,1364.8191818326163,1339.64,1417.5783979999994,1443.5578639999992,0.01,-5.27,-0.173,structure_invalidation,False,london,0.8999999999999999,CHoCH_BULL,4.689,3.141,10163.13
20,long,18807,18834,2024-02-23 15:00:00,1388.839,1411.8882295330238,1405.93949,1403.2087670000003,1412.0883560000004,0.03,54.8,1.068,tp2,True,new_york,0.74,BOS_BULL,1.199,23.311,10217.93
21,short,19042,19046,2024-03-04 10:00:00,1361.459,1365.6931670367057,1379.7,1334.1343470000002,1318.9457960000002,0.02,-8.61,-0.236,structure_invalidation,False,london,0.67,BOS_BEAR,4.581,5.289,10209.32
22,short,21731,21735,2024-06-24 11:00:00,1208.37,1214.268309078882,1234.99,1167.4336270000001,1144.9148360000002,0.01,-5.97,-0.224,structure_invalidation,False,london,0.67,BOS_BEAR,7.69,6.43,10203.35
23,short,21806,21853,2024-06-27 14:00:00,1179.851,1185.9581695391391,1193.56,1162.9337890000002,1152.7250520000002,0.05,-30.89,-0.451,structure_invalidation,False,overlap,0.8,BOS_BEAR,6.679,9.141,10172.47
24,short,21925,21975,2024-07-02 13:00:00,1144.161,1128.3861174399149,1127.9637699999998,1126.1151839999998,1114.8869119999997,0.02,32.82,1.013,stop_loss,True,overlap,0.74,BOS_BEAR,1.089,21.241,10205.29
25,short,23680,23706,2024-09-13 16:00:00,1067.606,1056.3313860509354,1055.90825,1052.7509900000007,1043.561320000001,0.07,89.61,1.094,stop_loss,True,new_york,0.62,BOS_BEAR,4.204,16.216,10294.9
26,short,24057,24061,2024-09-29 09:00:00,1016.332,1020.3340381003984,1032.38,995.841719,983.662292,0.03,-12.22,-0.254,structure_invalidation,False,london,0.62,BOS_BEAR,4.928,0.942,10282.68
